0,77,Self-emp-not-inc,936853,Doctorate,6,Never-married,Adm-clerical,Own-child,Amer-Indian-Eskimo,Female,37447,507,57,Hong
1,69,Local-gov,889350,7th-8th,10,Married-civ-spouse,Armed-Forces,Unmarried,Asian-Pac-Islander,Female,38773,850,14,Canada
2,63,Local-gov,1467920,12th,1,Divorced,Adm-clerical,Not-in-family,Amer-Indian-Eskimo,Female,35243,3947,38,Holand-Netherlands
3,86,Self-emp-not-inc,612725,11th,4,Married-AF-spouse,Sales,Own-child,Amer-Indian-Eskimo,Female,15371,2719,91,Peru
4,42,Local-gov,388197,Bachelors,1,Married-spouse-absent,Protective-serv,Own-child,Amer-Indian-Eskimo,Female,4448,1141,89,Yugoslavia
5,62,Private,681252,9th,7,Married-spouse-absent,Handlers-cleaners,Wife,Black,Female,22373,4313,59,Mexico
6,51,Local-gov,347930,11th,16,Divorced,Craft-repair,Not-in-family,Asian-Pac-Islander,Female,8701,1873,91,England
7,75,State-gov,159957,Bachelors,13,Separated,Armed-Forces,Own-child,Black,Female,5143,3868,46,Iran
8,60,Self-emp-inc,571035,11th,3,Married-civ-spouse,Tech-support,Wife,Asian-Pac-Islander,Female,31247,3421,73,Hungary
9,73,Local-gov,655438,HS-grad,1,Married-spouse-absent,Farming-fishing,Wife,Asian-Pac-Islander,Female,4553,2655,41,Cambodia
10,29,Self-emp-inc,372796,Masters,15,Married-civ-spouse,Machine-op-inspct,Other-relative,Black,Female,36494,1512,52,Canada
11,55,State-gov,1007978,Prof-school,14,Never-married,Prof-specialty,Not-in-family,Other,Female,26885,1336,81,Hungary
12,90,State-gov,15204,12th,10,Married-AF-spouse,Prof-specialty,Unmarried,Other,Female,14971,2854,94,Germany
13,43,Self-emp-not-inc,527460,Doctorate,11,Widowed,Machine-op-inspct,Unmarried,Black,Female,26849,1698,11,Trinadad&Tobago
14,74,State-gov,394077,Masters,2,Widowed,Sales,Wife,Black,Female,23256,3874,43,Jamaica
15,88,Private,315123,1st-4th,13,Married-civ-spouse,Tech-support,Own-child,Amer-Indian-Eskimo,Female,25353,309,44,South
16,64,Local-gov,1374226,Doctorate,2,Married-AF-spouse,Tech-support,Wife,Asian-Pac-Islander,Female,8976,1509,62,Peru
17,25,Local-gov,753999,Doctorate,15,Divorced,Transport-moving,Own-child,Amer-Indian-Eskimo,Female,10913,3497,87,Philippines
18,18,Self-emp-not-inc,869953,Prof-school,4,Divorced,Protective-serv,Not-in-family,Other,Female,25539,3007,63,Italy
19,38,Local-gov,1253241,Preschool,6,Never-married,Protective-serv,Unmarried,White,Female,19506,2405,53,Vietnam
20,18,State-gov,1461532,Preschool,14,Married-AF-spouse,Craft-repair,Other-relative,Black,Female,15519,3552,42,Columbia
21,66,Self-emp-inc,1030336,HS-grad,15,Married-AF-spouse,Armed-Forces,Other-relative,Amer-Indian-Eskimo,Female,4728,2044,5,Haiti
22,75,Without-pay,196389,5th-6th,8,Married-spouse-absent,Prof-specialty,Husband,Other,Female,5769,2085,53,Yugoslavia
23,19,Without-pay,1415405,5th-6th,7,Divorced,Craft-repair,Not-in-family,White,Female,15008,2031,34,Columbia
24,84,Private,576528,Bachelors,2,Divorced,Transport-moving,Other-relative,Asian-Pac-Islander,Female,18656,622,79,United-States
25,59,Federal-gov,702047,Some-college,10,Married-civ-spouse,Craft-repair,Wife,White,Female,41059,434,35,Scotland
26,58,Federal-gov,101548,7th-8th,9,Separated,Sales,Unmarried,White,Female,12454,3797,25,Scotland
27,87,State-gov,1325137,Masters,10,Married-civ-spouse,Prof-specialty,Husband,White,Female,28995,1589,47,Cambodia
28,52,Local-gov,851664,1st-4th,14,Married-civ-spouse,Prof-specialty,Other-relative,Other,Female,2139,3977,25,Peru
29,30,Self-emp-not-inc,1021966,Assoc-acdm,9,Married-AF-spouse,Transport-moving,Unmarried,White,Female,7543,4034,44,England
30,59,Local-gov,935081,5th-6th,7,Never-married,Prof-specialty,Husband,Other,Female,23729,665,60,Honduras
31,68,Self-emp-inc,1212835,5th-6th,9,Married-spouse-absent,Priv-house-serv,Husband,Other,Female,15516,3487,36,Scotland
32,30,State-gov,1419353,Doctorate,3,Divorced,Machine-op-inspct,Wife,Other,Female,40776,215,67,Honduras
33,59,Self-emp-inc,974454,5th-6th,8,Married-spouse-absent,Exec-managerial,Husband,Asian-Pac-Islander,Female,31545,1508,5,Honduras
34,58,Private,58750,1st-4th,14,Divorced,Sales,Own-child,White,Female,23313,1785,49,Canada
35,64,Private,240703,5th-6th,15,Married-AF-spouse,Farming-fishing,Not-in-family,Amer-Indian-Eskimo,Female,9372,3636,79,England
36,37,Self-emp-inc,697857,1st-4th,14,Married-civ-spouse,Exec-managerial,Own-child,Asian-Pac-Islander,Female,27371,3695,24,Iran
37,71,Local-gov,842050,10th,13,Married-spouse-absent,Farming-fishing,Own-child,Asian-Pac-Islander,Female,32291,3308,8,Cambodia
38,46,Self-emp-not-inc,648883,10th,4,Divorced,Sales,Not-in-family,White,Female,23919,4464,42,Taiwan
39,35,Self-emp-not-inc,872192,Assoc-voc,8,Married-civ-spouse,Priv-house-serv,Not-in-family,Asian-Pac-Islander,Female,16152,3380,28,Philippines
40,28,Local-gov,1086354,Bachelors,10,Married-spouse-absent,Other-service,Own-child,Black,Female,13875,1827,95,China
41,22,Local-gov,1417760,Bachelors,11,Separated,Machine-op-inspct,Own-child,Black,Female,9758,4369,85,Ireland
42,33,Self-emp-inc,685724,Assoc-voc,8,Married-civ-spouse,Sales,Not-in-family,Asian-Pac-Islander,Female,17784,3570,24,Taiwan
43,65,Self-emp-inc,1298747,1st-4th,3,Divorced,Sales,Other-relative,Amer-Indian-Eskimo,Female,36670,2648,49,Greece
44,71,Self-emp-inc,407900,Doctorate,12,Widowed,Craft-repair,Unmarried,Black,Female,20036,4105,54,Canada
45,38,Self-emp-not-inc,770869,Bachelors,7,Widowed,Prof-specialty,Unmarried,Asian-Pac-Islander,Female,17131,3011,58,Philippines
46,72,Self-emp-not-inc,509923,Assoc-acdm,10,Married-civ-spouse,Other-service,Own-child,Amer-Indian-Eskimo,Female,12890,2361,58,France
47,75,Local-gov,1040803,Assoc-acdm,14,Widowed,Sales,Not-in-family,Asian-Pac-Islander,Female,26467,3148,80,El-Salvador
48,18,State-gov,206682,Preschool,16,Married-AF-spouse,Armed-Forces,Wife,Other,Female,22380,22,86,El-Salvador
49,56,Without-pay,804640,Doctorate,11,Married-AF-spouse,Prof-specialty,Own-child,Amer-Indian-Eskimo,Female,30908,217,40,Dominican-Republic
50,48,Local-gov,577615,Assoc-acdm,16,Separated,Tech-support,Husband,White,Female,27197,270,89,Cuba
