0,48,Private,268867,Some-college,Never-married,Exec-managerial,Husband,Asian-Pac-Islander,Male,23002,4242,47,Honduras
1,71,Self-emp-not-inc,155083,Masters,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,Male,9881,4206,33,Cuba
2,22,Local-gov,14369,HS-grad,Married-civ-spouse,Adm-clerical,Not-in-family,White,Male,4760,0,55,Holand-Netherlands
3,63,Private,176465,Some-college,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,Male,36553,3963,59,Vietnam
4,65,Private,22282,Some-college,Never-married,Handlers-cleaners,Not-in-family,Black,Male,24642,4284,55,Scotland
5,45,Private,73283,HS-grad,Married-civ-spouse,Protective-serv,Husband,Other,Male,22234,0,42,Hungary
6,83,Self-emp-not-inc,147558,HS-grad,Divorced,Craft-repair,Unmarried,White,Male,26702,2371,35,Ecuador
7,72,Private,926893,HS-grad,Divorced,Other-service,Not-in-family,Asian-Pac-Islander,Male,33860,3042,35,Canada
8,21,Private,168106,11th,Married-civ-spouse,Farming-fishing,Husband,Other,Male,10974,4178,42,Hong
9,85,Private,132081,HS-grad,Divorced,Adm-clerical,Own-child,White,Male,19124,2298,34,Cambodia
10,87,Private,145519,Some-college,Never-married,Sales,Husband,Black,Male,12639,3162,36,South
11,58,Local-gov,350382,HS-grad,Never-married,Farming-fishing,Husband,White,Male,16989,1603,59,Holand-Netherlands
12,52,Private,116509,Bachelors,Never-married,Craft-repair,Husband,Amer-Indian-Eskimo,Male,22213,1701,45,France
13,79,Private,118990,HS-grad,Married-civ-spouse,Adm-clerical,Husband,Asian-Pac-Islander,Male,26688,4177,38,United-States
14,84,Private,308912,Bachelors,Divorced,Sales,Husband,White,Male,4283,3035,60,Mexico
15,60,Private,84230,11th,Never-married,Prof-specialty,Husband,Asian-Pac-Islander,Male,39161,723,33,Haiti
16,47,Private,278547,HS-grad,Married-civ-spouse,Craft-repair,Not-in-family,White,Male,14894,2530,37,Hong
17,53,Private,198970,Assoc-acdm,Married-civ-spouse,Machine-op-inspct,Not-in-family,Asian-Pac-Islander,Male,34042,1065,8,Taiwan
18,56,Private,138743,HS-grad,Never-married,Prof-specialty,Husband,Asian-Pac-Islander,Male,8956,0,42,Poland
19,26,Self-emp-not-inc,19894,HS-grad,Separated,Sales,Husband,Amer-Indian-Eskimo,Male,4071,1147,38,South
20,20,Self-emp-inc,195095,HS-grad,Never-married,Handlers-cleaners,Husband,Other,Male,31196,91,52,India
21,60,Private,235833,Assoc-acdm,Married-civ-spouse,Tech-support,Husband,Asian-Pac-Islander,Male,27938,3229,47,Trinadad&Tobago
22,39,Private,296957,HS-grad,Married-civ-spouse,Other-service,Husband,White,Male,27824,1851,47,El-Salvador
23,55,Private,125208,HS-grad,Married-civ-spouse,Craft-repair,Unmarried,Other,Male,15468,2998,45,Vietnam
24,81,Self-emp-inc,195832,7th-8th,Never-married,Other-service,Own-child,Black,Male,33200,2054,43,Ecuador
