0,49,Private,165759,11th,Never-married,Prof-specialty,Not-in-family,Asian-Pac-Islander,Female,30036,680,40,Philippines
1,63,Local-gov,210356,HS-grad,Never-married,Sales,Not-in-family,Asian-Pac-Islander,Female,11093,1575,47,Haiti
2,45,Private,20588,HS-grad,Married-civ-spouse,Adm-clerical,Unmarried,Amer-Indian-Eskimo,Female,26515,2722,46,Hungary
3,84,Private,48132,HS-grad,Never-married,Prof-specialty,Wife,Black,Female,36009,1311,39,India
4,30,Private,78106,Assoc-voc,Widowed,Adm-clerical,Wife,Amer-Indian-Eskimo,Female,2603,671,34,Nicaragua
5,19,Private,172808,HS-grad,Married-civ-spouse,Adm-clerical,Unmarried,Black,Female,0,3874,43,Italy
6,83,Private,147537,Some-college,Divorced,Exec-managerial,Own-child,Asian-Pac-Islander,Female,17209,2395,48,El-Salvador
7,62,Private,223475,HS-grad,Widowed,Sales,Not-in-family,Asian-Pac-Islander,Female,31703,4257,47,Hong
8,83,Federal-gov,66248,Some-college,Never-married,Adm-clerical,Not-in-family,Amer-Indian-Eskimo,Female,22904,283,38,Canada
9,66,Private,88944,Some-college,Never-married,Prof-specialty,Unmarried,Amer-Indian-Eskimo,Female,1157,3108,39,India
10,53,Private,292876,Some-college,Never-married,Prof-specialty,Unmarried,Other,Female,41145,3879,37,India
11,49,Self-emp-inc,19650,HS-grad,Divorced,Other-service,Unmarried,Amer-Indian-Eskimo,Female,22914,3103,41,Greece
12,55,Private,101812,Bachelors,Never-married,Other-service,Own-child,White,Female,4460,4465,35,El-Salvador
13,80,Private,263357,11th,Married-spouse-absent,Other-service,Unmarried,White,Female,26700,3102,25,Japan
14,76,Private,34270,Doctorate,Married-civ-spouse,Other-service,Own-child,Other,Female,19625,1547,94,Portugal
15,82,Private,59928,Bachelors,Never-married,Adm-clerical,Wife,Asian-Pac-Islander,Female,4507,3732,46,Italy
16,83,Private,141187,Bachelors,Never-married,Adm-clerical,Not-in-family,Other,Female,8609,0,45,Japan
17,58,Private,345519,Bachelors,Separated,Adm-clerical,Wife,Amer-Indian-Eskimo,Female,28146,4399,39,Dominican-Republic
18,86,Local-gov,27600,1st-4th,Never-married,Adm-clerical,Own-child,White,Female,4956,2819,44,Outlying-US(Guam-USVI-etc)
19,57,Private,31521,Some-college,Married-civ-spouse,Other-service,Not-in-family,Asian-Pac-Islander,Female,0,4224,43,Hungary
20,67,Private,283345,HS-grad,Divorced,Prof-specialty,Unmarried,Black,Female,32103,319,43,Puerto-Rico
21,65,Private,142637,Assoc-acdm,Married-civ-spouse,Adm-clerical,Own-child,Black,Female,9510,1330,35,Japan
22,25,Private,290388,Some-college,Divorced,Exec-managerial,Not-in-family,Black,Female,11930,428,47,Germany
23,46,Private,197261,Some-college,Never-married,Adm-clerical,Not-in-family,Amer-Indian-Eskimo,Female,2074,1876,38,England
24,35,Local-gov,112558,Some-college,Widowed,Sales,Unmarried,Black,Female,21205,973,12,Jamaica
25,88,Private,168452,9th,Divorced,Exec-managerial,Wife,Black,Female,28842,387,22,Peru
26,55,Private,207540,Assoc-acdm,Never-married,Adm-clerical,Unmarried,White,Female,36590,250,37,Hungary
27,34,Private,162097,HS-grad,Married-civ-spouse,Handlers-cleaners,Unmarried,Other,Female,40379,2974,40,Trinadad&Tobago
